Instruction_KeyP.keys,Instruction_KeyP.rt,Instruction2_KeyP.keys,Instruction2_KeyP.rt,Choice1.keys,Choice1.rt,Ex_Step1.thisRepN,Ex_Step1.thisTrialN,Ex_Step1.thisN,Ex_Step1.thisIndex,Ex_Step1.ran,email,date,expName,psychopyVersion,OS,frameRate
space,1.202,space,4.424,e,0.77,0,0,0,0,1,test,2021-02-17_21h36.52.058,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,i,0.41,1,0,1,0,1,test,2021-02-17_21h36.52.058,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,e,0.257,2,0,2,0,1,test,2021-02-17_21h36.52.058,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,i,0.271,3,0,3,0,1,test,2021-02-17_21h36.52.058,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,e,0.256,4,0,4,0,1,test,2021-02-17_21h36.52.058,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,i,0.223,5,0,5,0,1,test,2021-02-17_21h36.52.058,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,e,0.135,6,0,6,0,1,test,2021-02-17_21h36.52.058,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,i,0.069,7,0,7,0,1,test,2021-02-17_21h36.52.058,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,i,0.25,8,0,8,0,1,test,2021-02-17_21h36.52.058,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,i,0.236,9,0,9,0,1,test,2021-02-17_21h36.52.058,InstructionMarkovVideoG,2020.2.6,MacIntel,60
