InstrVideoKR.keys,InstrVideoKR.rt,CravingKR.keys,CravingKR.corr,CravingKR.rt,ResistKR.keys,ResistKR.corr,ResistKR.rt,StressKR.keys,StressKR.corr,StressKR.rt,VideoNLoop.thisRepN,VideoNLoop.thisTrialN,VideoNLoop.thisN,VideoNLoop.thisIndex,VideoNLoop.ran,Video,email,date,expName,psychopyVersion,OS,frameRate,DebutTache2KR.keys,DebutTache2KR.rt,Choice1.keys,Choice1.rt,Transition,Choice2.keys,Choice2.rt,Reward,Task2.thisRepN,Task2.thisTrialN,Task2.thisN,Task2.thisIndex,Task2.ran,Ntrial,Walk21,PChoice21,Walk22,PChoice22,Walk23,PChoice23,Walk24,PChoice24
space,7.21663,1,0,2.460055,1,0,0.339,1,0,0.2426,0,0,0,1,1,WashOff2.mp4,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,1,1,8,1,WashOff9.mp4,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,2,2,0,1,WashOff1.mp4,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,3,3,7,1,WashOff8.mp4,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,4,4,5,1,WashOff6.mp4,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,5,5,6,1,WashOff7.mp4,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,6,6,2,1,WashOff3.mp4,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,7,7,3,1,WashOff4.mp4,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,8,8,4,1,WashOff5.mp4,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,9,9,9,1,WashOff10.mp4,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,1,0,16.168255,1,0,0.13539,1,0,0.101395,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,space,347.85449,i,0.86867,0,i,0.25999,0,0,0,0,92,1,93,-0.02,0.63,-0.02,0.52,-0.01,0.28,0.01,0.57
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,i,0.01728,1,i,0.75054,0,0,1,1,71,1,72,0.05,0.74,0.01,0.53,0,0.51,-0.02,0.47
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,i,0.253285,1,i,0.017215,0,0,2,2,93,1,94,-0.01,0.62,0,0.52,-0.02,0.26,-0.03,0.54
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,i,0.156915,1,i,0.174435,1,0,3,3,163,1,164,-0.03,0.63,0,0.69,-0.03,0.48,-0.03,0.33
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,i,0.20901,1,i,0.18701,1,0,4,4,184,1,185,0,0.45,0,0.7,-0.02,0.32,0.01,0.26
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,i,0.03407,0,i,0.200885,0,0,5,5,97,1,98,0.03,0.69,-0.04,0.52,0,0.31,-0.04,0.52
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,i,0.184245,0,i,0.25034,0,0,6,6,46,1,47,0.02,0.72,0.01,0.63,-0.02,0.59,-0.04,0.64
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,i,0.21813,1,i,0.16679,1,0,7,7,28,1,29,0.01,0.71,-0.02,0.62,0,0.59,0,0.69
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,i,0.134545,0,i,0.2331,1,0,8,8,18,1,19,0.02,0.71,-0.05,0.58,-0.03,0.56,0.01,0.73
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,i,0.134125,1,i,0.467005,0,0,9,9,66,1,67,0.02,0.59,-0.03,0.54,0.01,0.53,-0.03,0.46
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,i,0.133665,1,i,0.25095,1,0,10,10,149,1,150,-0.02,0.56,0.04,0.69,-0.02,0.51,-0.01,0.26
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,i,0.15048,0,i,0.00116,1,0,11,11,111,1,112,-0.02,0.64,-0.03,0.63,-0.01,0.34,-0.02,0.39
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,i,0.167545,1,i,61.856015,1,0,12,12,196,1,197,0.04,0.43,0.02,0.72,0.05,0.31,-0.01,0.26
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,e,199.1848,1,e,0.10752,1,0,13,13,89,1,90,-0.04,0.65,0,0.56,0,0.35,0.04,0.49
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,e,0.068305,1,e,0.056535,0,0,14,14,74,1,75,0.02,0.73,0.06,0.57,0.04,0.48,0.01,0.5
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,e,0.0173,1,e,0.554505,0,0,15,15,197,1,198,-0.02,0.41,-0.01,0.71,-0.05,0.26,0,0.26
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,e,0.317385,1,e,2.231895,1,0,16,16,177,1,178,-0.03,0.46,0,0.68,0.03,0.42,-0.04,0.31
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,e,2.698595,1,e,0.48366,0,0,17,17,30,1,31,0.02,0.73,0,0.62,-0.03,0.61,-0.01,0.69
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,e,0.36781,0,e,0.384015,0,0,18,18,39,1,40,0,0.7,-0.02,0.6,0,0.61,0,0.73
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,e,9.560115,1,e,0.200875,1,0,19,19,29,1,30,0,0.71,0,0.62,0.05,0.64,0.01,0.7
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,e,0.002905,0,e,0.21796,1,0,20,20,82,1,83,0.02,0.69,-0.01,0.5,0.03,0.37,0,0.49
,,,,,,,,,,,,,,,,,test 3 ,2021-02-19_14h23.11.336,MarkovTaskNeutreJ2,2020.2.6,Win32,60,,,e,0.03369,0,e,0.01719,1,0,21,21,4,1,5,-0.01,0.58,0.01,0.55,0.02,0.55,0.02,0.59
