"ExpName"	"Trial"	"Stay"	"PrReward"	"PrTransition"	"RT1"	"RT2"	"Choice1"	"Choice2"	"reward"	"transition"	"Time"	"subjID"
"InstructionMarkovVideoG"	11	1	0	0	0.30007	0.41604	"i"	"e"	0	1	1	33
"InstructionMarkovVideoG"	12	0	0	1	0.350795	0.98308	"e"	"e"	1	1	1	33
"InstructionMarkovVideoG"	13	1	1	1	0.250615	0.385545	"e"	"e"	1	1	1	33
"InstructionMarkovVideoG"	14	1	1	1	0.085115	0.452435	"e"	"e"	1	0	1	33
"InstructionMarkovVideoG"	15	1	1	0	0.10003	0.654905	"e"	"i"	1	1	1	33
"InstructionMarkovVideoG"	16	1	1	1	0.304935	0.453465	"e"	"i"	0	1	1	33
"InstructionMarkovVideoG"	17	1	0	1	0.233535	0.76676	"e"	"e"	1	1	1	33
"InstructionMarkovVideoG"	18	1	1	1	0.552175	1.06977	"e"	"e"	0	1	1	33
"InstructionMarkovVideoG"	19	0	0	1	0.28456	0.550605	"i"	"i"	0	1	1	33
"InstructionMarkovVideoG"	20	1	0	1	0.270075	0.3832	"i"	"e"	1	1	1	33
"InstructionMarkovVideoG"	21	1	1	1	0.301295	0.802065	"i"	"e"	0	0	1	33
"InstructionMarkovVideoG"	22	1	0	0	0.53243	0.880015	"i"	"i"	1	0	1	33
"InstructionMarkovVideoG"	23	1	1	0	0.20465	0.7819	"i"	"e"	0	1	1	33
"InstructionMarkovVideoG"	24	1	0	1	0.468805	0.70151	"i"	"i"	1	0	1	33
"InstructionMarkovVideoG"	25	1	1	0	0.235105	0.451765	"i"	"i"	0	0	1	33
"InstructionMarkovVideoG"	26	1	0	0	0.121505	0.88248	"i"	"e"	1	1	1	33
"InstructionMarkovVideoG"	27	1	1	1	0.08554	0.6008	"i"	"i"	0	0	1	33
"InstructionMarkovVideoG"	28	1	0	0	0.48676	0.705625	"i"	"e"	1	1	1	33
"InstructionMarkovVideoG"	29	1	1	1	0.284435	0.582365	"i"	"i"	0	0	1	33
"InstructionMarkovVideoG"	30	0	0	0	0.301505	0.752395	"e"	"e"	0	1	1	33
"InstructionMarkovVideoG"	31	1	0	1	0.53491	0.952075	"e"	"i"	1	1	1	33
"InstructionMarkovVideoG"	32	1	1	1	0.06788	0.60012	"e"	"e"	1	0	1	33
"InstructionMarkovVideoG"	33	1	1	0	0.25062	0.75152	"e"	"e"	0	0	1	33
"InstructionMarkovVideoG"	34	1	0	0	0.15581	0.767685	"e"	"i"	1	1	1	33
"InstructionMarkovVideoG"	35	1	1	1	0.332945	0.534205	"e"	"e"	1	0	1	33
"InstructionMarkovVideoG"	36	1	1	0	0.283935	0.51763	"e"	"i"	1	1	1	33
"InstructionMarkovVideoG"	37	1	1	1	0.299545	0.735	"e"	"i"	0	1	1	33
"InstructionMarkovVideoG"	38	1	0	1	0.282855	0.584905	"e"	"e"	0	1	1	33
"InstructionMarkovVideoG"	39	1	0	1	0.31754	1.250505	"e"	"i"	1	1	1	33
"InstructionMarkovVideoG"	40	1	1	1	0.320275	0.894735	"e"	"e"	0	1	1	33
"InstructionMarkovVideoG"	41	1	0	1	0.18249	0.501025	"e"	"i"	0	1	1	33
"InstructionMarkovVideoG"	42	0	0	1	0.25231	0.652355	"i"	"e"	1	0	1	33
"InstructionMarkovVideoG"	43	1	1	0	0.02201	0.637685	"i"	"i"	0	1	1	33
"InstructionMarkovVideoG"	44	1	0	1	0.20107	0.38564	"i"	"e"	0	1	1	33
"InstructionMarkovVideoG"	45	1	0	1	0.1013	0.903535	"i"	"e"	0	0	1	33
"InstructionMarkovVideoG"	46	1	0	0	0.06708	0.5024	"i"	"e"	0	0	1	33
"InstructionMarkovVideoG"	47	1	0	0	0.11956	0.583445	"i"	"i"	0	1	1	33
"InstructionMarkovVideoG"	48	1	0	1	0.117245	1.003595	"i"	"e"	0	1	1	33
"InstructionMarkovVideoG"	49	1	0	1	0.10028	0.76848	"i"	"i"	0	0	1	33
"InstructionMarkovVideoG"	50	1	0	0	0.184355	0.470115	"i"	"e"	1	0	1	33
"InstructionMarkovVideoG"	51	1	1	0	0.232415	0.384765	"i"	"e"	0	0	1	33
"InstructionMarkovVideoG"	52	1	0	0	0.252205	0.750585	"i"	"e"	1	0	1	33
"InstructionMarkovVideoG"	53	0	1	0	0.37174	0.3823	"e"	"i"	0	1	1	33
"InstructionMarkovVideoG"	54	1	0	1	0.351805	0.401675	"e"	"e"	0	1	1	33
"InstructionMarkovVideoG"	55	1	0	1	0.157645	0.617935	"e"	"e"	0	1	1	33
"InstructionMarkovVideoG"	56	1	0	1	0.183905	0.967435	"e"	"e"	1	0	1	33
"InstructionMarkovVideoG"	57	1	1	0	0.251825	0.63541	"e"	"i"	1	1	1	33
"InstructionMarkovVideoG"	58	1	1	1	0.21841	0.383415	"e"	"e"	1	0	1	33
"InstructionMarkovVideoG"	59	1	1	0	0.56896	1.334975	"e"	"i"	1	1	1	33
"InstructionMarkovVideoG"	60	1	1	1	0.4863	0.484155	"e"	"e"	1	1	1	33
