"ExpName"	"Trial"	"Stay"	"PrReward"	"PrTransition"	"RT1"	"RT2"	"level1_choice"	"level2_choice"	"reward"	"transition"	"Time"	"subjID"
"InstructionMarkovVideoG"	11	1	-1	-1	0.30007	0.41604	2	3	0	1	1	33
"InstructionMarkovVideoG"	12	0	-1	1	0.350795	0.98308	1	1	1	1	1	33
"InstructionMarkovVideoG"	13	1	1	1	0.250615	0.385545	1	1	1	1	1	33
"InstructionMarkovVideoG"	14	1	1	1	0.085115	0.452435	1	3	1	0	1	33
"InstructionMarkovVideoG"	15	1	1	-1	0.10003	0.654905	1	2	1	1	1	33
"InstructionMarkovVideoG"	16	1	1	1	0.304935	0.453465	1	2	0	1	1	33
"InstructionMarkovVideoG"	17	1	-1	1	0.233535	0.76676	1	1	1	1	1	33
"InstructionMarkovVideoG"	18	1	1	1	0.552175	1.06977	1	1	0	1	1	33
"InstructionMarkovVideoG"	19	0	-1	1	0.28456	0.550605	2	4	0	1	1	33
"InstructionMarkovVideoG"	20	1	-1	1	0.270075	0.3832	2	3	1	1	1	33
"InstructionMarkovVideoG"	21	1	1	1	0.301295	0.802065	2	1	0	0	1	33
"InstructionMarkovVideoG"	22	1	-1	-1	0.53243	0.880015	2	2	1	0	1	33
"InstructionMarkovVideoG"	23	1	1	-1	0.20465	0.7819	2	3	0	1	1	33
"InstructionMarkovVideoG"	24	1	-1	1	0.468805	0.70151	2	2	1	0	1	33
"InstructionMarkovVideoG"	25	1	1	-1	0.235105	0.451765	2	2	0	0	1	33
"InstructionMarkovVideoG"	26	1	-1	-1	0.121505	0.88248	2	3	1	1	1	33
"InstructionMarkovVideoG"	27	1	1	1	0.08554	0.6008	2	2	0	0	1	33
"InstructionMarkovVideoG"	28	1	-1	-1	0.48676	0.705625	2	3	1	1	1	33
"InstructionMarkovVideoG"	29	1	1	1	0.284435	0.582365	2	2	0	0	1	33
"InstructionMarkovVideoG"	30	0	-1	-1	0.301505	0.752395	1	1	0	1	1	33
"InstructionMarkovVideoG"	31	1	-1	1	0.53491	0.952075	1	2	1	1	1	33
"InstructionMarkovVideoG"	32	1	1	1	0.06788	0.60012	1	3	1	0	1	33
"InstructionMarkovVideoG"	33	1	1	-1	0.25062	0.75152	1	3	0	0	1	33
"InstructionMarkovVideoG"	34	1	-1	-1	0.15581	0.767685	1	2	1	1	1	33
"InstructionMarkovVideoG"	35	1	1	1	0.332945	0.534205	1	3	1	0	1	33
"InstructionMarkovVideoG"	36	1	1	-1	0.283935	0.51763	1	2	1	1	1	33
"InstructionMarkovVideoG"	37	1	1	1	0.299545	0.735	1	2	0	1	1	33
